MMSI,IMO,STATUS,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,SHIP_ID
316035891,9780768,0,63,-53.763380,46.490080,140,143,2020-12-07T00:50:00,5149482
316035891,9780768,0,64,-53.672060,46.408190,142,145,2020-12-07T01:49:00,5149482
316035891,9780768,0,63,-53.582590,46.324490,144,145,2020-12-07T02:49:00,5149482
316035891,9780768,0,64,-53.445430,46.294600,94,93,2020-12-07T03:48:00,5149482
316035891,9780768,0,63,-53.295790,46.288190,94,93,2020-12-07T04:48:00,5149482
316035891,9780768,0,63,-53.141400,46.284700,90,92,2020-12-07T05:48:00,5149482
316035891,9780768,0,62,-52.989900,46.284010,90,90,2020-12-07T06:48:00,5149482
316035891,9780768,0,61,-52.840070,46.283590,88,88,2020-12-07T07:47:00,5149482
316035891,9780768,0,60,-52.695020,46.285160,85,87,2020-12-07T08:46:00,5149482
316035891,9780768,0,60,-52.376410,46.291280,86,93,2020-12-07T10:59:00,5149482
316035891,9780768,0,66,-52.225660,46.288630,89,93,2020-12-07T11:58:00,5149482
316035891,9780768,0,137,-52.693640,46.276390,266,268,2020-12-15T03:51:00,5149482
316035891,9780768,0,142,-53.026120,46.275150,269,271,2020-12-15T04:50:00,5149482
316035891,9780768,0,146,-53.372360,46.276640,270,271,2020-12-15T05:50:00,5149482
316035891,9780768,0,146,-53.718880,46.283960,272,271,2020-12-15T06:50:00,5149482
316035891,9780768,0,146,-54.041120,46.358040,302,303,2020-12-15T07:50:00,5149482
316035891,9780768,0,148,-54.336240,46.492570,303,303,2020-12-15T08:50:00,5149482
316035891,9780768,0,105,-54.046420,47.679620,349,349,2020-12-15T16:15:00,5149482
316035891,9780768,0,53,-54.160830,47.729170,250,266,2020-12-15T17:14:00,5149482
316035891,9780768,0,0,-54.173470,47.725610,155,244,2020-12-15T18:16:00,5149482
316035891,9780768,1,0,-54.173140,47.724210,28,271,2020-12-15T19:16:00,5149482
316035891,9780768,1,0,-54.172990,47.724470,176,273,2020-12-15T20:16:00,5149482
